Station_number,Station_name,Region,rainfall,Mean,Percentile,Years_of_data,latitude,longitude,Elevation
1006,WYNDHAM AERO,WA,671.4,844.7,29.7,38,-15.51,128.15,4
1007,TROUGHTON ISLAND,WA,1047.4,818.1,72.7,34,-13.75,126.15,6
1010,THEDA,WA,1502.6,1296.2,71.2,53,-14.79,126.50,210
1019,KALUMBURU,WA,1442.8,1258.3,83.3,25,-14.30,126.65,23
1020,TRUSCOTT,WA,1687.6,1203.1,-1.0,19,-14.09,126.39,51
1024,ELLENBRAE,WA,861.8,813.0,61.9,22,-15.96,127.06,300
1025,DOONGAN,WA,1304.2,1112.5,67.9,29,-15.38,126.31,385
1026,DRYSDALE RIVER STATION,WA,1450.8,1123.5,94.1,35,-15.70,126.38,370
1027,DIGGERS REST,WA,703.3,886.6,-1.0,18,-15.64,128.08,14
1035,PARRY CREEK FARM,WA,795.0,971.2,-1.0,19,-15.60,128.28,20
2009,GIBB RIVER,WA,941.4,804.5,75.3,94,-16.42,126.44,488
2021,MOUNT AMHURST,WA,520.4,517.8,50.0,63,-18.39,126.99,300
2022,MOUNT WINIFRED,WA,795.2,698.7,-1.0,18,-18.02,126.30,180
2030,YULMBU,WA,810.0,691.8,69.4,50,-17.30,126.92,450
2036,OLD MORNINGTON HOMESTEAD,WA,1024.2,856.5,80.0,21,-17.39,126.23,280
2043,MOUNT KRAUSS,WA,628.2,645.7,-1.0,17,-18.34,126.12,160
2051,BILLILUNA,WA,422.5,518.3,36.8,20,-19.56,127.67,305
2053,LANSDOWNE,WA,795.6,690.6,70.0,31,-17.61,126.74,400
2056,KUNUNURRA AERO,WA,815.6,847.6,46.8,48,-15.78,128.71,44
2064,ARGYLE AERODROME,WA,692.8,746.5,50.0,37,-16.64,128.45,164
2067,KUNUNURRA CHECKPOINT,WA,1000.3,971.4,47.6,22,-15.98,129.00,80
2068,MARION DOWNS,WA,948.0,895.3,-1.0,16,-17.07,126.85,460
2072,BEDFORD DOWNS AIRSTRIP,WA,776.4,824.0,-1.0,13,-17.28,127.46,531
2073,MARGARET RIVER AIRSTRIP,WA,446.6,612.3,-1.0,14,-18.62,126.88,270
2077,SIDDINS CREEK,WA,799.8,912.0,-1.0,14,-16.92,126.55,410
2079,HALLS CREEK AIRPORT,WA,532.6,625.7,-1.0,9,-18.23,127.67,409
3003,BROOME AIRPORT,WA,845.0,632.5,77.4,85,-17.95,122.24,7
3032,DERBY AERO,WA,1084.0,709.6,87.9,67,-17.37,123.66,6
3051,MOUNT BARNETT,WA,1110.4,920.6,89.6,49,-16.74,125.91,401
3057,CYGNET BAY,WA,1009.1,796.1,72.2,55,-16.45,123.01,7
3063,CHARNLEY RIVER,WA,1602.6,988.0,94.7,39,-16.72,125.46,400
3066,PORT SMITH,WA,819.2,612.2,77.1,36,-18.52,121.81,10
3080,CURTIN AERO,WA,1005.0,833.9,74.1,28,-17.58,123.83,78
3093,FITZROY CROSSING AERO,WA,758.2,684.8,61.5,27,-18.18,125.56,115
3094,WINDJANA GORGE,WA,992.8,824.1,-1.0,13,-17.42,124.92,95
3098,MOUNT HOUSE AIRSTRIP,WA,1253.6,933.9,94.7,20,-17.05,125.71,270
3101,DAMPIER DOWNS AIRSTRIP,WA,617.4,700.4,-1.0,13,-18.51,123.47,140
4004,BAMBOO CREEK,WA,654.0,384.6,88.1,85,-20.93,120.21,250
4019,MANDORA,WA,745.2,383.3,93.4,107,-19.74,120.84,8
4032,PORT HEDLAND AIRPORT,WA,428.2,317.6,72.8,82,-20.37,118.63,6
4083,KARRATHA AERO,WA,506.8,294.8,95.7,48,-20.71,116.77,5
4090,ROEBOURNE AERO,WA,276.2,271.6,65.0,21,-20.76,117.16,11
5006,KOOLINE,WA,224.6,254.0,46.2,94,-22.91,116.29,160
5007,LEARMONTH AIRPORT,WA,247.0,251.7,59.0,62,-22.24,114.10,5
5008,MARDIE,WA,462.8,284.9,87.9,125,-21.19,115.98,11
5014,MOUNT FLORANCE,WA,380.2,370.8,62.7,111,-21.79,117.86,450
5017,ONSLOW AIRPORT,WA,283.6,300.6,52.5,60,-21.67,115.11,11
5022,RED HILL,WA,430.2,362.0,71.3,116,-21.98,116.07,150
5032,YARRALOOLA HOMESTEAD,WA,266.5,291.8,51.8,113,-21.57,115.88,50
5034,MOUNT STUART,WA,303.2,313.5,54.9,83,-22.46,116.05,160
5051,EXMOUTH TOWN,WA,272.6,279.1,55.3,48,-21.93,114.13,13
5069,PANNAWONICA,WA,509.8,403.7,73.3,46,-21.64,116.33,200
5084,THEVENARD ISLAND,WA,273.4,236.9,68.0,26,-21.46,115.02,5
5094,BARROW ISLAND AIRPORT,WA,474.8,281.5,91.3,24,-20.87,115.41,6
5098,KARIJINI NORTH,WA,342.4,338.3,-1.0,7,-22.30,118.45,474
6010,CAREY DOWNS,WA,148.0,215.1,27.9,80,-25.61,115.46,250
6011,CARNARVON AIRPORT,WA,101.2,223.4,14.3,78,-24.89,113.67,4
